provider_type_cd,provider_type_desc,medicare_specialty_code,medicare_speciality_code_desc,id
30-33,DME SUPPLIER - PHYSICIAN - THORACIC SURGERY,33,THORACIC SURGERY,124
30-34,DME SUPPLIER - PHYSICIAN - UROLOGY,34,UROLOGY,125
30-35,DME SUPPLIER - PHYSICIAN - CHIROPRACTIC,35,CHIROPRACTIC,126
30-37,DME SUPPLIER - PHYSICIAN - PEDIATRIC MEDICINE,37,PEDIATRIC MEDICINE,127
30-38,DME SUPPLIER - PHYSICIAN - GERIATRIC MEDICINE,38,GERIATRIC MEDICINE,128
30-39,DME SUPPLIER - PHYSICIAN - NEPHROLOGY,39,NEPHROLOGY,129
30-40,DME SUPPLIER - PHYSICIAN - HAND SURGERY,40,HAND SURGERY,130
30-41,DME SUPPLIER - PHYSICIAN - OPTOMETRIST,41,OPTOMETRIST,131
30-43,DME SUPPLIER - CERTIFIED REGISTERED NURSE ANESTHETISTS,43,CERTIFIED REGISTERED NURSE ANESTHETISTS,132
30-44,DME SUPPLIER - PHYSICIAN - INFECTIOUS DISEASE,44,INFECTIOUS DISEASE,133
30-46,DME SUPPLIER - PHYSICIAN - ENDOCRINOLOGY,46,ENDOCRINOLOGY,134
30-48,DME SUPPLIER - PHYSICIAN - PODIATRY,48,PODIATRY,135
30-49,DME SUPPLIER - AMBULATORY SURGICAL CENTER,49,AMBULATORY SURGICAL CENTER,136
30-50,DME SUPPLIER - NURSE PRACTITIONER,50,NURSE PRACTITIONER,137
30-51,DME SUPPLIER - MEDICAL SUPPLY COMPANY WITH ORTHOTIC PERSONNEL,51,MEDICAL SUPPLY COMPANY WITH ORTHOTIC PERSONNEL,138
30-52,DME SUPPLIER - MEDICAL SUPPLY COMPANY WITH PROSTHETIC PERSONNEL,52,MEDICAL SUPPLY COMPANY WITH PROSTHETIC PERSONNEL,139
30-53,DME SUPPLIER - MEDICAL SUPPLY COMPANY WITH ORTHOTIC-PROSTHETIC,53,MEDICAL SUPPLY COMPANY WITH ORTHOTIC-PROSTHETIC,140
30-54,DME SUPPLIER - MEDICAL SUPPLY COMPANY,54,MEDICAL SUPPLY COMPANY,141
30-55,DME SUPPLIER - ORTHOTIC PERSONNEL,55,ORTHOTIC PERSONNEL,142
30-56,DME SUPPLIER - PROSTHETIC PERSONNEL,56,PROSTHETIC PERSONNEL,143
30-57,DME SUPPLIER - CERTIFIED ORTH/PROS/PEDORTHIST,57,CERTIFIED ORTH/PROS/PEDORTHIST,144
30-58,DME SUPPLIER - MEDICAL SUPPLY COMPANY WITH REGISTERED PHARMACIST,58,MEDICAL SUPPLY COMPANY WITH REGISTERED PHARMACIST,145
30-65,DME SUPPLIER - INDEPENDENTLY-PRACTICING PHYSICAL THERAPIST,65,INDEPENDENTLY-PRACTICING PHYSICAL THERAPIST,146
30-66,DME SUPPLIER - PHYSICIAN - RHEUMATOLOGY,66,RHEUMATOLOGY,147
30-67,DME SUPPLIER - INDEPENDENTLY-PRACTICING OCCUPATIONAL THERAPIST,67,INDEPENDENTLY-PRACTICING OCCUPATIONAL THERAPIST,148
30-70,DME SUPPLIER - MULTI-SPECIALTY - PHYSICIAN,70,PHYSICIAN,149
30-72,DME SUPPLIER - PHYSICIAN - INTERVENTIONAL PAIN MANAGEMENT,72,INTERVENTIONAL PAIN MANAGEMENT,150
30-77,DME SUPPLIER - PHYSICIAN - VASCULAR SURGERY,77,VASCULAR SURGERY,151
30-82,DME SUPPLIER - PHYSICIAN - HEMATOLOGY,82,HEMATOLOGY,152
30-83,DME SUPPLIER - PHYSICIAN - HEMATOLOGY/ONCOLOGY,83,HEMATOLOGY/ONCOLOGY,153
30-84,DME SUPPLIER - PHYSICIAN - PREVENTIVE MEDICINE,84,PREVENTIVE MEDICINE,154
30-85,DME SUPPLIER - PHYSICIAN - MAXILLOFACIAL SURGERY,85,MAXILLOFACIAL SURGERY,155
30-87,DME SUPPLIER - OTHER,87,OTHER,156
30-88,DME SUPPLIER - UNKNOWN SUPPLIER/PROVIDER,88,UNKNOWN SUPPLIER/PROVIDER,157
30-90,DME SUPPLIER - PHYSICIAN - MEDICAL ONCOLOGY,90,MEDICAL ONCOLOGY,158
30-91,DME SUPPLIER - PHYSICIAN - SURGICAL ONCOLOGY,91,SURGICAL ONCOLOGY,159
30-92,DME SUPPLIER - PHYSICIAN - RADIATION ONCOLOGY,92,RADIATION ONCOLOGY,160
30-93,DME SUPPLIER - PHYSICIAN - EMERGENCY MEDICINE,93,EMERGENCY MEDICINE,161
30-94,DME SUPPLIER - PHYSICIAN - INTERVENTIONAL RADIOLOGY,94,INTERVENTIONAL RADIOLOGY,162
30-96,DME SUPPLIER - OPTICIAN,96,OPTICIAN,163
30-97,DME SUPPLIER - PHYSICIAN ASSISTANT,97,PHYSICIAN ASSISTANT,164
30-99,DME SUPPLIER - PHYSICIAN - UNKNOWN PHYSICIAN SPECIALTY,99,UNKNOWN PHYSICIAN SPECIALTY,165
30-A0,DME SUPPLIER - HOSPITAL,A0,HOSPITAL,166
30-A1,DME SUPPLIER - NURSING FACILITY,A1,NURSING FACILITY,167
30-A2,DME SUPPLIER - NURSING FACILITY INTERMEDIATE CARE,A2,NURSING FACILITY INTERMEDIATE CARE,168
30-A4,DME SUPPLIER - HOME HEALTH AGENCY,A4,HOME HEALTH AGENCY,169
30-A5,DME SUPPLIER - PHARMACY,A5,PHARMACY,170
30-A6,DME SUPPLIER - MEDICAL SUPPLY COMPANY WITH RESPIRATORY THERAPIST,A6,MEDICAL SUPPLY COMPANY WITH RESPIRATORY THERAPIST,171
30-A7,DME SUPPLIER - DEPARTMENT STORE,A7,DEPARTMENT STORE,172
30-A8,DME SUPPLIER - GROCERY STORE,A8,GROCERY STORE,173
30-A9,DME SUPPLIER - INDIAN HEALTH SERVICE OR TRIBAL FACILITY,A9,INDIAN HEALTH SERVICE OR TRIBAL FACILITY,174
30-B1,DME SUPPLIER - OXYGEN & EQUIPMENT,B1,OXYGEN & EQUIPMENT,175
30-B2,DME SUPPLIER - PEDORTHIC PERSONNEL,B2,PEDORTHIC PERSONNEL,176
30-B3,DME SUPPLIER - MEDICAL SUPPLY COMPANY WITH PEDORTHIC PERSONNEL,B3,MEDICAL SUPPLY COMPANY WITH PEDORTHIC PERSONNEL,177
30-B4,DME SUPPLIER - REHABILITATION AGENCY,B4,REHABILITATION AGENCY,178
30-B5,DME SUPPLIER - OCULARIST,B5,OCULARIST,179
30-C0,DME SUPPLIER - SLEEP LABORATORY/MEDICINE,C0,SLEEP LABORATORY/MEDICINE,180
