"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
PA-C,Physician Assistant Certified,207XP3100X,PEDIATRIC ORTHOPAEDIC SURGERY PHYSICIAN,17
PA-C,Physician Assistant Certified,207XS0114X,ADULT RECONSTRUCTIVE ORTHOPAEDIC SURGERY PHYSICIAN,17
PAC,Physician Assistant Certified,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,17
PA,Physician Assistant,207RC0001X,CLINICAL CARDIAC ELECTROPHYSIOLOGY PHYSICIAN,16
PA,Physician Assistant,2086S0102X,SURGICAL CRITICAL CARE PHYSICIAN,16
PA-C,Physician Assistant Certified,207VG0400X,GYNECOLOGY PHYSICIAN,16
PA-C,Physician Assistant Certified,207RG0300X,GERIATRIC MEDICINE (INTERNAL MEDICINE) PHYSICIAN,15
PA-C,Physician Assistant Certified,207VX0201X,GYNECOLOGIC ONCOLOGY PHYSICIAN,15
PA-C,Physician Assistant Certified,207XS0106X,ORTHOPAEDIC HAND SURGERY PHYSICIAN,15
PAC,Physician Assistant Certified,208600000X,SURGERY PHYSICIAN,15
PA,Physician Assistant,207QA0401X,ADDICTION MEDICINE (FAMILY MEDICINE) PHYSICIAN,14
PA-C,Physician Assistant Certified,2080A0000X,PEDIATRIC ADOLESCENT MEDICINE PHYSICIAN,14
PA-C,Physician Assistant Certified,2080N0001X,NEONATAL-PERINATAL MEDICINE PHYSICIAN,14
PAC,Physician Assistant Certified,207RC0000X,CARDIOVASCULAR DISEASE PHYSICIAN,14
PAC,Physician Assistant Certified,2084P0800X,PSYCHIATRY PHYSICIAN,14
PA,Physician Assistant,207KA0200X,ALLERGY PHYSICIAN,13
PA,Physician Assistant,207PP0204X,PEDIATRIC EMERGENCY MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,13
PA,Physician Assistant,2080N0001X,NEONATAL-PERINATAL MEDICINE PHYSICIAN,13
PA-C,Physician Assistant Certified,207L00000X,ANESTHESIOLOGY PHYSICIAN,13
PA-C,Physician Assistant Certified,207RS0010X,SPORTS MEDICINE (INTERNAL MEDICINE) PHYSICIAN,13
PA,Physician Assistant,207W00000X,OPHTHALMOLOGY PHYSICIAN,12
PA,Physician Assistant,2084A0401X,ADDICTION MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,12
PA-C,Physician Assistant Certified,207QG0300X,GERIATRIC MEDICINE (FAMILY MEDICINE) PHYSICIAN,12
PA-C,Physician Assistant Certified,207RC0001X,CLINICAL CARDIAC ELECTROPHYSIOLOGY PHYSICIAN,12
PAC,Physician Assistant Certified,208800000X,UROLOGY PHYSICIAN,12
PA,Physician Assistant,207LC0200X,CRITICAL CARE MEDICINE (ANESTHESIOLOGY) PHYSICIAN,11
PA,Physician Assistant,207LP2900X,PAIN MEDICINE (ANESTHESIOLOGY) PHYSICIAN,11
PA,Physician Assistant,2080P0214X,PEDIATRIC PULMONOLOGY PHYSICIAN,11
PA,Physician Assistant,208C00000X,COLON & RECTAL SURGERY PHYSICIAN,11
PA-C,Physician Assistant Certified,207KA0200X,ALLERGY PHYSICIAN,11
PA-C,Physician Assistant Certified,2080P0202X,PEDIATRIC CARDIOLOGY PHYSICIAN,11
PAC,Physician Assistant Certified,207RG0100X,GASTROENTEROLOGY PHYSICIAN,11
RPA-C,Registered Physician Assistant Certified,207Q00000X,FAMILY MEDICINE PHYSICIAN,11
PA,Physician Assistant,207YX0905X,OTOLARYNGOLOGY/FACIAL PLASTIC SURGERY PHYSICIAN,10
PA,Physician Assistant,2085R0001X,RADIATION ONCOLOGY PHYSICIAN,10
PA-C,Physician Assistant Certified,207PP0204X,PEDIATRIC EMERGENCY MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,10
PA-C,Physician Assistant Certified,2086S0102X,SURGICAL CRITICAL CARE PHYSICIAN,10
PAC,Physician Assistant Certified,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,10
MPAS,Master of Physician Assistant Studies,207N00000X,DERMATOLOGY PHYSICIAN,9
PA,Physician Assistant,207RH0000X,HEMATOLOGY (INTERNAL MEDICINE) PHYSICIAN,9
PA,Physician Assistant,207YP0228X,PEDIATRIC OTOLARYNGOLOGY PHYSICIAN,9
PA,Physician Assistant,2083P0011X,UNDERSEA AND HYPERBARIC MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,9
PAC,Physician Assistant Certified,208D00000X,GENERAL PRACTICE PHYSICIAN,9
PAC,Physician Assistant Certified,208G00000X,THORACIC SURGERY (CARDIOTHORACIC VASCULAR SURGERY) PHYSICIAN,9
RPA,Registered Physician Assistant,207N00000X,DERMATOLOGY PHYSICIAN,9
RPA,Registered Physician Assistant,207Q00000X,FAMILY MEDICINE PHYSICIAN,9
RPA-C,Registered Physician Assistant Certified,207N00000X,DERMATOLOGY PHYSICIAN,9
PA,Physician Assistant,207RA0001X,ADVANCED HEART FAILURE AND TRANSPLANT CARDIOLOGY PHYSICIAN,8
PA,Physician Assistant,2080P0206X,PEDIATRIC GASTROENTEROLOGY PHYSICIAN,8
PA-C,Physician Assistant Certified,207NP0225X,PEDIATRIC DERMATOLOGY PHYSICIAN,8
PA-C,Physician Assistant Certified,207W00000X,OPHTHALMOLOGY PHYSICIAN,8
PA-C,Physician Assistant Certified,2084A0401X,ADDICTION MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,8
PA-S,Physician Assistant Student,207Q00000X,FAMILY MEDICINE PHYSICIAN,8
PA,Physician Assistant,202D00000X,INTEGRATIVE MEDICINE PHYSICIAN,7
PA,Physician Assistant,207VE0102X,REPRODUCTIVE ENDOCRINOLOGY PHYSICIAN,7
PA,Physician Assistant,207VF0040X,UROGYNECOLOGY AND RECONSTRUCTIVE PELVIC SURGERY (OBSTETRICS & GYNECOLOGY) PHYSICIAN,7
PA,Physician Assistant,207XX0004X,ORTHOPAEDIC FOOT AND ANKLE SURGERY PHYSICIAN,7
PA,Physician Assistant,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,7
PA,Physician Assistant,2084A2900X,NEUROCRITICAL CARE PHYSICIAN,7
PA,Physician Assistant,2084B0040X,BEHAVIORAL NEUROLOGY & NEUROPSYCHIATRY PHYSICIAN,7
PA-C,Physician Assistant Certified,202D00000X,INTEGRATIVE MEDICINE PHYSICIAN,7
PA-C,Physician Assistant Certified,207LP2900X,PAIN MEDICINE (ANESTHESIOLOGY) PHYSICIAN,7
PA-C,Physician Assistant Certified,207VE0102X,REPRODUCTIVE ENDOCRINOLOGY PHYSICIAN,7
PA-C,Physician Assistant Certified,207VX0000X,OBSTETRICS PHYSICIAN,7
PA-C,Physician Assistant Certified,208C00000X,COLON & RECTAL SURGERY PHYSICIAN,7
PAC,Physician Assistant Certified,207RE0101X,"ENDOCRINOLOGY, DIABETES & METABOLISM PHYSICIAN",7
PAC,Physician Assistant Certified,207RH0003X,HEMATOLOGY & ONCOLOGY PHYSICIAN,7
PAC,Physician Assistant Certified,207T00000X,NEUROLOGICAL SURGERY PHYSICIAN,7
PAC,Physician Assistant Certified,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,7
MPAS,Master of Physician Assistant Studies,207P00000X,EMERGENCY MEDICINE PHYSICIAN,6
PA,Physician Assistant,207RA0401X,ADDICTION MEDICINE (INTERNAL MEDICINE) PHYSICIAN,6
PA,Physician Assistant,207YX0007X,PLASTIC SURGERY WITHIN THE HEAD & NECK (OTOLARYNGOLOGY) PHYSICIAN,6
PA,Physician Assistant,2083A0300X,ADDICTION MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,6
PA,Physician Assistant,2084E0001X,EPILEPSY PHYSICIAN,6
PA-C,Physician Assistant Certified,207QA0401X,ADDICTION MEDICINE (FAMILY MEDICINE) PHYSICIAN,6
PA-C,Physician Assistant Certified,207VF0040X,UROGYNECOLOGY AND RECONSTRUCTIVE PELVIC SURGERY (OBSTETRICS & GYNECOLOGY) PHYSICIAN,6
PA-C,Physician Assistant Certified,2080P0214X,PEDIATRIC PULMONOLOGY PHYSICIAN,6
PAC,Physician Assistant Certified,207PE0004X,EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN,6
PAC,Physician Assistant Certified,207RN0300X,NEPHROLOGY PHYSICIAN,6
PAC,Physician Assistant Certified,207XS0117X,ORTHOPAEDIC SURGERY OF THE SPINE PHYSICIAN,6
PAC,Physician Assistant Certified,2084A0401X,ADDICTION MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,6
PAC,Physician Assistant Certified,208VP0000X,PAIN MEDICINE PHYSICIAN,6
RPA,Registered Physician Assistant,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,6
MPAS,Master of Physician Assistant Studies,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,5
PA,Physician Assistant,202K00000X,PHLEBOLOGY PHYSICIAN,5
PA,Physician Assistant,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,5
PA,Physician Assistant,204E00000X,ORAL & MAXILLOFACIAL SURGERY (D.M.D.),5
PA,Physician Assistant,207NI0002X,CLINICAL & LABORATORY DERMATOLOGICAL IMMUNOLOGY PHYSICIAN,5
PA,Physician Assistant,207QA0000X,ADOLESCENT MEDICINE (FAMILY MEDICINE) PHYSICIAN,5
