"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
PHD,Doctor of Philosophy,207RI0200X,INFECTIOUS DISEASE PHYSICIAN,2
PHD,Doctor of Philosophy,207SG0201X,CLINICAL GENETICS (M.D.) PHYSICIAN,2
PHD,Doctor of Philosophy,207SM0001X,MOLECULAR GENETIC PATHOLOGY (MEDICAL GENETICS) PHYSICIAN,2
PHD,Doctor of Philosophy,207ZP0101X,ANATOMIC PATHOLOGY PHYSICIAN,2
PHD,Doctor of Philosophy,2080P0008X,PEDIATRIC NEURODEVELOPMENTAL DISABILITIES PHYSICIAN,2
PHD,Doctor of Philosophy,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,2
PHD,Doctor of Philosophy,2083B0002X,OBESITY MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,2
PHD,Doctor of Philosophy,2083S0010X,SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,2
PHD,Doctor of Philosophy,2084A0401X,ADDICTION MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,2
PHD,Doctor of Philosophy,2084P0005X,NEURODEVELOPMENTAL DISABILITIES PHYSICIAN,2
PHD,Doctor of Philosophy,2084P0802X,ADDICTION PSYCHIATRY PHYSICIAN,2
PHD,Doctor of Philosophy,208VP0000X,PAIN MEDICINE PHYSICIAN,2
PHD,Doctor of Philosophy,208VP0014X,INTERVENTIONAL PAIN MEDICINE PHYSICIAN,2
PT,Physical Therapist,207QA0505X,ADULT MEDICINE PHYSICIAN,2
PTA,Physical Therapist Assistant,2080P0008X,PEDIATRIC NEURODEVELOPMENTAL DISABILITIES PHYSICIAN,2
PTA,Physical Therapist Assistant,2081P0301X,BRAIN INJURY MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,2
PharmD,Doctor of Pharmacy,202C00000X,INDEPENDENT MEDICAL EXAMINER PHYSICIAN,2
PharmD,Doctor of Pharmacy,207RI0200X,INFECTIOUS DISEASE PHYSICIAN,2
PharmD,Doctor of Pharmacy,208000000X,PEDIATRICS PHYSICIAN,2
PharmD,Doctor of Pharmacy,2084P0800X,PSYCHIATRY PHYSICIAN,2
PsyD,Doctor of Psychology,202C00000X,INDEPENDENT MEDICAL EXAMINER PHYSICIAN,2
PsyD,Doctor of Psychology,207LP2900X,PAIN MEDICINE (ANESTHESIOLOGY) PHYSICIAN,2
PsyD,Doctor of Psychology,207R00000X,INTERNAL MEDICINE PHYSICIAN,2
RD,Registered Dietitian,207RN0300X,NEPHROLOGY PHYSICIAN,2
RD,Registered Dietitian,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,2
RD,Registered Dietitian,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,2
RD,Registered Dietitian,2083P0500X,PREVENTIVE MEDICINE/OCCUPATIONAL ENVIRONMENTAL MEDICINE PHYSICIAN,2
RD,Registered Dietitian,208D00000X,GENERAL PRACTICE PHYSICIAN,2
RDCS,Registered Diagnostic Cardiac Sonographer,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,2
RDN,Registered Dietitian Nutritionist,207R00000X,INTERNAL MEDICINE PHYSICIAN,2
RDN,Registered Dietitian Nutritionist,207RE0101X,"ENDOCRINOLOGY, DIABETES & METABOLISM PHYSICIAN",2
RDN,Registered Dietitian Nutritionist,2080P0206X,PEDIATRIC GASTROENTEROLOGY PHYSICIAN,2
RDN,Registered Dietitian Nutritionist,208600000X,SURGERY PHYSICIAN,2
RMA,Registered Medical Assistant,202K00000X,PHLEBOLOGY PHYSICIAN,2
RPT,Registered Physical Therapist,202K00000X,PHLEBOLOGY PHYSICIAN,2
SLP,Speech-Language Pathologist,207ZC0006X,CLINICAL PATHOLOGY PHYSICIAN,2
SLP,Speech-Language Pathologist,208000000X,PEDIATRICS PHYSICIAN,2
STUDENT,Student,208000000X,PEDIATRICS PHYSICIAN,2
STUDENT,Student,208D00000X,GENERAL PRACTICE PHYSICIAN,2
VMD,Doctor of Veterinary Medicine,207R00000X,INTERNAL MEDICINE PHYSICIAN,2
AA,Associate of Arts,207P00000X,EMERGENCY MEDICINE PHYSICIAN,1
AA,Associate of Arts,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
AA,Associate of Arts,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,1
AA,Associate of Arts,208600000X,SURGERY PHYSICIAN,1
AAS,Associate of Applied Science,207W00000X,OPHTHALMOLOGY PHYSICIAN,1
AAS,Associate of Applied Science,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,1
AAS,Associate of Applied Science,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,1
ABO,American Board of Otolaryngology,207W00000X,OPHTHALMOLOGY PHYSICIAN,1
ABPN,American Board of Psychiatry and Neurology,208000000X,PEDIATRICS PHYSICIAN,1
ABPN,American Board of Psychiatry and Neurology,2080P0207X,PEDIATRIC HEMATOLOGY & ONCOLOGY PHYSICIAN,1
ABPN,American Board of Psychiatry and Neurology,2084P0005X,NEURODEVELOPMENTAL DISABILITIES PHYSICIAN,1
ABPN,American Board of Psychiatry and Neurology,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,1
ACUPUNCTURIST,Acupuncturist,208D00000X,GENERAL PRACTICE PHYSICIAN,1
